,Assists,Clean_Sheet,xA,xG,xGC,Goals_Conceded,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Penalties_Saved,Red_Cards,Saves,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Delta_Goals_Conceded,Next_Points,Running_Assists,Running_Clean_Sheet,Running_xA,Running_xG,Running_xGC,Running_Goals_Conceded,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Penalties_Saved,Running_Red_Cards,Running_Saves,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Delta_Goals_Conceded,Running_Next_Points
31,0,0,0.0,0.0,2.96,6,0,90,0,0,0,0,4,0,0,Jordan,Pikford,4,0.0,0.0,-3.04,8.0,0.0,0.25,0.0175,0.0,1.8800000000000001,2.25,0.0,90.0,0.0,0.0,0.0,0.0,3.0,3.25,0.0,3.25,0.0,-0.0175,-0.37,4.75
32,0,1,0.01,0.0,0.85,0,0,90,0,0,0,0,3,8,0,Jordan,Pikford,2,0.0,-0.01,0.85,10.0,0.0,0.5,0.015,0.0,1.7025,1.75,0.0,90.0,0.0,0.0,0.0,0.0,3.0,4.75,0.0,3.0,0.0,-0.015,-0.047500000000000014,6.5
33,0,1,0.01,0.0,2.06,0,0,90,0,0,0,0,7,10,0,Jordan,Pikford,5,0.0,-0.01,2.06,10.0,0.0,0.75,0.0075,0.0,1.5825,1.5,0.0,90.0,0.0,0.0,0.0,0.0,3.75,6.5,0.0,3.25,0.0,-0.0075,0.08250000000000002,7.0
34,0,1,0.01,0.0,0.84,0,0,90,0,0,0,0,4,10,0,Jordan,Pikford,2,0.0,-0.01,0.84,3.0,0.0,0.75,0.0075,0.0,1.6775,1.5,0.0,90.0,0.0,0.0,0.0,0.0,4.5,7.0,0.0,3.25,0.0,-0.0075,0.1775,7.75
35,0,0,0.01,0.0,0.96,1,0,90,0,0,0,0,4,3,0,Jordan,Pikford,2,0.0,-0.01,-0.040000000000000036,8.0,0.0,0.75,0.01,0.0,1.1775,0.25,0.0,90.0,0.0,0.0,0.0,0.0,4.5,7.75,0.0,2.75,0.0,-0.01,0.9275,7.75
36,0,1,0.0,0.0,0.64,0,0,90,0,0,0,0,1,8,0,Jordan,Pikford,2,0.0,0.0,0.64,1.0,0.0,0.75,0.0075,0.0,1.125,0.25,0.0,90.0,0.0,0.0,0.0,0.0,4.0,7.75,0.0,2.75,0.0,-0.0075,0.875,5.5
37,0,0,0.01,0.0,2.89,2,0,90,0,0,0,0,4,1,1,Jordan,Pikford,5,0.0,-0.01,0.8900000000000001,,0.0,0.5,0.0075,0.0,1.3325,0.75,0.0,90.0,0.0,0.0,0.0,0.0,3.25,5.5,0.25,2.75,0.0,-0.0075,0.5825,4.0
0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,4,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
4,0,1,0.0,0.0,0.3,0,0,90,0,0,0,0,1,8,0,David,Raya,3,0.0,0.0,0.3,2.0,0.0,0.25,0.0,0.0,0.075,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.25,2.0,0.0,3.5,0.0,0.0,0.075,2.5
5,0,0,0.0,0.0,1.5,2,0,90,0,0,0,0,3,2,0,David,Raya,5,0.0,0.0,-0.5,6.0,0.0,0.25,0.0,0.0,0.45,0.5,0.0,45.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,3.75,0.0,0.0,-0.05,4.0
6,0,1,0.0,0.0,0.69,0,0,90,0,0,0,0,1,6,0,David,Raya,3,0.0,0.0,0.69,6.0,0.0,0.5,0.0,0.0,0.6225,0.5,0.0,67.5,0.0,0.0,0.0,0.0,1.25,4.0,0.0,3.75,0.0,0.0,0.12249999999999998,5.5
7,0,1,0.0,0.0,0.55,0,0,90,0,0,0,0,0,6,0,David,Raya,5,0.0,0.0,0.55,2.0,0.0,0.75,0.0,0.0,0.76,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.25,5.5,0.0,4.0,0.0,0.0,0.26,4.0
8,0,0,0.0,0.0,1.36,2,0,90,0,0,0,0,3,2,0,David,Raya,4,0.0,0.0,-0.6399999999999999,6.0,0.0,0.5,0.0,0.0,1.0250000000000001,1.0,0.0,90.0,0.0,0.0,0.0,0.0,1.75,4.0,0.0,4.25,0.0,0.0,0.025000000000000022,5.0
9,0,1,0.0,0.0,0.03,0,0,90,0,0,0,0,0,6,0,David,Raya,2,0.0,0.0,0.03,2.0,0.0,0.75,0.0,0.0,0.6575000000000001,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.5,0.0,0.0,0.15750000000000003,4.0
10,0,0,0.0,0.0,1.09,1,0,90,0,0,0,0,0,2,0,David,Raya,4,0.0,0.0,0.09000000000000008,3.0,0.0,0.5,0.0,0.0,0.7575000000000001,0.75,0.0,90.0,0.0,0.0,0.0,0.0,0.75,4.0,0.0,3.75,0.0,0.0,0.007500000000000055,3.25
11,0,0,0.0,0.0,0.3,1,0,90,0,0,0,0,4,3,0,David,Raya,2,0.0,0.0,-0.7,0.0,0.0,0.25,0.0,0.0,0.6950000000000001,1.0,0.0,90.0,0.0,0.0,0.0,0.0,1.75,3.25,0.0,3.0,0.0,0.0,-0.30499999999999994,2.75
12,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,2,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.0,0.35500000000000004,0.5,0.0,67.5,0.0,0.0,0.0,0.0,1.0,2.75,0.0,2.5,0.0,0.0,-0.14499999999999996,1.75
13,0,0,0.01,0.0,0.71,1,0,90,0,0,0,0,2,2,0,David,Raya,3,0.0,-0.01,-0.29000000000000004,1.0,0.0,0.0,0.0025,0.0,0.525,0.75,0.0,67.5,0.0,0.0,0.0,0.0,1.5,1.75,0.0,2.75,0.0,-0.0025,-0.22499999999999998,1.5
14,0,0,0.01,0.0,0.5,3,0,90,0,0,0,0,1,1,0,David,Raya,2,0.0,-0.01,-2.5,2.0,0.0,0.0,0.005,0.0,0.3775,1.25,0.0,67.5,0.0,0.0,0.0,0.0,1.75,1.5,0.0,2.25,0.0,-0.005,-0.8725,1.25
15,0,0,0.0,0.0,0.51,1,0,90,0,0,0,0,2,2,0,David,Raya,5,0.0,0.0,-0.49,6.0,0.0,0.0,0.005,0.0,0.43,1.25,0.0,67.5,0.0,0.0,0.0,0.0,1.25,1.25,0.0,3.0,0.0,-0.005,-0.8200000000000001,2.75
16,0,1,0.0,0.0,0.69,0,0,90,0,0,0,0,1,6,0,David,Raya,3,0.0,0.0,0.69,2.0,0.0,0.25,0.005,0.0,0.6025,1.25,0.0,90.0,0.0,0.0,0.0,0.0,1.5,2.75,0.0,3.25,0.0,-0.005,-0.6475,2.75
17,0,0,0.0,0.0,0.95,1,0,90,0,0,0,0,2,2,0,David,Raya,5,0.0,0.0,-0.050000000000000044,6.0,0.0,0.25,0.0025,0.0,0.6625,1.25,0.0,90.0,0.0,0.0,0.0,0.0,1.5,2.75,0.0,3.75,0.0,-0.0025,-0.5875,4.0
18,0,0,0.0,0.0,1.48,2,0,90,0,0,1,0,1,6,0,David,Raya,4,0.0,0.0,-0.52,1.0,0.0,0.25,0.0,0.0,0.9075,1.0,0.0,90.0,0.0,0.0,0.25,0.0,1.5,4.0,0.0,4.25,0.0,0.0,-0.09250000000000003,3.75
19,0,0,0.0,0.0,1.34,2,0,90,0,0,0,0,2,1,0,David,Raya,3,0.0,0.0,-0.6599999999999999,8.0,0.0,0.25,0.0,0.0,1.115,1.25,0.0,90.0,0.0,0.0,0.25,0.0,1.5,3.75,0.0,3.75,0.0,0.0,-0.135,4.25
20,0,1,0.0,0.0,0.33,0,0,90,0,0,0,0,5,8,0,David,Raya,4,0.0,0.0,0.33,2.0,0.0,0.25,0.0,0.0,1.025,1.25,0.0,90.0,0.0,0.0,0.25,0.0,2.5,4.25,0.0,4.0,0.0,0.0,-0.22499999999999998,4.25
21,0,0,0.0,0.0,0.4,1,0,90,0,0,0,0,2,2,0,David,Raya,2,0.0,0.0,-0.6,2.0,0.0,0.25,0.0,0.0,0.8875000000000001,1.25,0.0,90.0,0.0,0.0,0.25,0.0,2.5,4.25,0.0,3.25,0.0,0.0,-0.3625,3.25
22,0,0,0.0,0.0,0.41,1,0,90,0,0,0,0,1,2,0,David,Raya,5,0.0,0.0,-0.5900000000000001,6.0,0.0,0.25,0.0,0.0,0.62,1.0,0.0,90.0,0.0,0.0,0.0,0.0,2.5,3.25,0.0,3.5,0.0,0.0,-0.38,4.5
23,0,1,0.0,0.0,0.21,0,0,90,0,0,0,0,1,6,0,David,Raya,4,0.0,0.0,0.21,6.0,0.0,0.5,0.0,0.0,0.3375,0.5,0.0,90.0,0.0,0.0,0.0,0.0,2.25,4.5,0.0,3.75,0.0,0.0,-0.16250000000000003,4.0
24,0,1,0.0,0.0,0.26,0,0,90,0,0,0,0,0,6,0,David,Raya,2,0.0,0.0,0.26,2.0,0.0,0.5,0.0,0.0,0.31999999999999995,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.25,0.0,0.0,-0.18000000000000005,4.0
25,0,0,0.0,0.0,0.16,1,0,90,0,0,0,0,1,2,0,David,Raya,4,0.0,0.0,-0.84,6.0,0.0,0.5,0.0,0.0,0.26,0.5,0.0,90.0,0.0,0.0,0.0,0.0,0.75,4.0,0.0,3.75,0.0,0.0,-0.24000000000000002,5.0
26,0,1,0.0,0.0,0.23,0,0,90,0,0,0,0,0,6,0,David,Raya,2,0.0,0.0,0.23,0.0,0.0,0.75,0.0,0.0,0.215,0.25,0.0,90.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0,3.0,0.0,0.0,-0.034999999999999996,3.5
27,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,David,Raya,2,0.0,0.0,0.0,5.0,0.0,0.5,0.0,0.0,0.1625,0.25,0.0,67.5,0.0,0.0,0.0,0.0,0.25,3.5,0.0,2.5,0.0,0.0,-0.0875,3.25
