,Assists,Clean_Sheet,xA,xG,xGC,Goals_Conceded,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Red_Cards,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Delta_Goals_Conceded,Next_Points,Running_Assists,Running_Clean_Sheet,Running_xA,Running_xG,Running_xGC,Running_Goals_Conceded,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Red_Cards,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Delta_Goals_Conceded,Running_Next_Points
16,0,1,0.0,0.23,1.65,0,0,70,0,0,0,3,0,Alejandro,Garnacho,5,-0.23,0.0,1.65,2.0,0.25,0.25,0.0975,0.2775,1.69,1.25,0.0,82.0,0.0,0.0,0.0,2.75,0.25,4.0,-0.2775,0.15249999999999997,0.44,2.75
17,0,0,0.02,0.55,1.36,2,0,84,0,0,0,2,0,Alejandro,Garnacho,4,-0.55,-0.02,-0.6399999999999999,14.0,0.25,0.25,0.1,0.4,1.3675,1.5,0.0,80.5,0.0,0.0,0.0,2.75,0.25,4.0,-0.4,0.15,-0.13249999999999995,5.25
18,0,0,0.04,0.6,1.68,2,2,90,0,0,0,14,0,Alejandro,Garnacho,5,1.4,-0.04,-0.32000000000000006,4.0,0.0,0.25,0.0325,0.37,1.4375,1.75,0.5,80.5,0.0,0.0,0.0,5.25,0.0,4.25,0.12999999999999995,-0.0325,-0.31249999999999994,5.75
19,1,0,0.08,0.15,0.74,2,0,90,0,0,0,4,1,Alejandro,Garnacho,2,-0.15,0.92,-1.26,2.0,0.25,0.25,0.035,0.3825,1.3575,1.5,0.5,83.5,0.0,0.0,0.0,5.75,0.25,4.0,0.11749999999999994,0.21500000000000002,-0.14249999999999996,5.5
20,0,0,0.23,0.0,1.36,2,0,90,0,0,0,2,0,Alejandro,Garnacho,5,0.0,-0.23,-0.6399999999999999,1.0,0.25,0.0,0.0925,0.325,1.2850000000000001,2.0,0.5,88.5,0.0,0.0,0.0,5.5,0.25,4.0,0.17499999999999993,0.1575,-0.7149999999999999,5.25
21,0,0,0.54,0.04,1.97,2,0,90,0,0,0,1,1,Alejandro,Garnacho,3,-0.04,-0.54,-0.030000000000000027,16.0,0.25,0.0,0.2225,0.19749999999999998,1.4375,2.0,0.5,90.0,0.0,0.0,0.0,5.25,0.5,3.75,0.30249999999999994,0.027499999999999997,-0.5625,5.75
22,0,1,0.17,0.24,1.69,0,2,90,0,0,0,16,0,Alejandro,Garnacho,4,1.76,-0.17,1.69,2.0,0.25,0.25,0.255,0.1075,1.44,1.5,0.5,90.0,0.0,0.0,0.0,5.75,0.5,3.5,0.39249999999999996,-0.005000000000000011,-0.05999999999999994,5.25
23,0,0,0.01,0.31,2.49,1,0,90,0,0,0,2,0,Alejandro,Garnacho,5,-0.31,-0.01,1.4900000000000002,5.0,0.0,0.25,0.23750000000000002,0.14750000000000002,1.8775,1.25,0.5,90.0,0.0,0.0,0.0,5.25,0.25,4.25,0.3524999999999999,-0.23750000000000002,0.6275000000000002,6.0
24,1,0,0.25,0.79,1.74,1,0,90,0,0,0,5,0,Alejandro,Garnacho,2,-0.79,0.75,0.74,2.0,0.25,0.25,0.24250000000000002,0.34500000000000003,1.9725000000000001,1.0,0.5,90.0,0.0,0.0,0.0,6.0,0.25,3.5,0.15499999999999992,0.007499999999999979,0.9725,6.25
25,0,0,0.07,0.13,1.11,2,0,90,0,0,0,2,0,Alejandro,Garnacho,3,-0.13,-0.07,-0.8899999999999999,2.0,0.25,0.25,0.125,0.36750000000000005,1.7574999999999998,1.0,0.5,90.0,0.0,0.0,0.0,6.25,0.0,3.5,0.13249999999999992,0.12499999999999999,0.7575000000000001,2.75
26,0,0,0.01,0.0,3.2,2,0,81,0,0,0,2,0,Alejandro,Garnacho,5,0.0,-0.01,1.2000000000000002,9.0,0.25,0.0,0.08499999999999999,0.3075,2.1350000000000002,1.5,0.0,87.75,0.0,0.0,0.0,2.75,0.0,3.75,-0.3075000000000001,0.16499999999999998,0.6350000000000002,4.5
27,2,1,0.09,0.23,1.48,0,0,82,0,0,0,9,0,Alejandro,Garnacho,3,-0.23,1.91,1.48,1.0,0.75,0.25,0.10500000000000001,0.28750000000000003,1.8825,1.25,0.0,85.75,0.0,0.0,0.0,4.5,0.0,3.25,-0.28750000000000003,0.645,0.6325000000000001,3.5
28,0,0,0.01,0.0,1.55,0,0,58,0,0,0,1,0,Alejandro,Garnacho,2,0.0,-0.01,1.55,14.0,0.5,0.25,0.045000000000000005,0.09,1.835,1.0,0.0,77.75,0.0,0.0,0.0,3.5,0.0,3.25,-0.09000000000000002,0.45499999999999996,0.8350000000000002,6.5
29,0,0,0.02,0.74,2.17,2,2,85,0,0,0,14,0,Alejandro,Garnacho,4,1.26,-0.02,0.16999999999999993,2.0,0.5,0.25,0.0325,0.2425,2.1,1.0,0.5,76.5,0.0,0.0,0.0,6.5,0.0,3.5,0.25749999999999995,0.46749999999999997,1.1,6.5
30,0,0,0.02,0.14,2.45,1,0,79,0,0,0,2,0,Alejandro,Garnacho,5,-0.14,-0.02,1.4500000000000002,4.0,0.5,0.25,0.035,0.27749999999999997,1.9124999999999999,0.75,0.5,76.0,0.0,0.0,0.0,6.5,0.0,3.5,0.2225,0.46499999999999997,1.1625,5.25
31,1,0,0.02,0.04,1.27,2,0,45,0,0,0,4,0,Alejandro,Garnacho,3,-0.04,0.98,-0.73,5.0,0.25,0.0,0.01750000000000001,0.23,1.8599999999999999,1.25,0.5,66.75,0.0,0.0,0.0,5.25,0.0,3.5,0.27,0.23249999999999998,0.6100000000000001,6.25
32,1,0,0.14,0.62,0.77,2,0,90,0,0,0,5,0,Alejandro,Garnacho,2,-0.62,0.86,-1.23,2.0,0.5,0.0,0.05000000000000001,0.385,1.665,1.75,0.5,74.75,0.0,0.0,0.0,6.25,0.0,3.5,0.11500000000000002,0.44999999999999996,-0.08499999999999991,3.25
33,0,0,0.23,0.54,2.06,1,0,90,0,0,0,2,0,Alejandro,Garnacho,2,-0.54,-0.23,1.06,2.0,0.5,0.0,0.10250000000000001,0.335,1.6375000000000002,1.5,0.0,76.0,0.0,0.0,0.0,3.25,0.0,3.0,-0.33499999999999996,0.39749999999999996,0.13750000000000012,3.25
34,0,0,0.03,0.03,1.47,4,0,90,0,0,0,2,0,Alejandro,Garnacho,4,-0.03,-0.03,-2.5300000000000002,2.0,0.5,0.0,0.10500000000000001,0.30750000000000005,1.3925,2.25,0.0,78.75,0.0,0.0,0.0,3.25,0.0,2.75,-0.30749999999999994,0.395,-0.8574999999999999,2.75
35,0,0,0.07,0.39,1.71,1,0,90,0,0,0,2,0,Alejandro,Garnacho,5,-0.39,-0.07,0.71,2.0,0.25,0.0,0.11750000000000001,0.395,1.5025000000000002,2.0,0.0,90.0,0.0,0.0,0.0,2.75,0.0,3.25,-0.395,0.1325,-0.49749999999999994,2.0
36,0,0,0.03,0.19,2.18,1,0,82,0,0,0,2,0,Alejandro,Garnacho,4,-0.19,-0.03,1.1800000000000002,3.0,0.0,0.0,0.09000000000000002,0.28750000000000003,1.855,1.75,0.0,88.0,0.0,0.0,0.0,2.0,0.0,3.75,-0.2875,-0.09,0.1050000000000001,2.25
37,0,1,0.02,0.18,1.55,0,0,90,0,0,0,3,0,Alejandro,Garnacho,3,-0.18,-0.02,1.55,,0.0,0.25,0.037500000000000006,0.1975,1.7274999999999998,1.5,0.0,88.0,0.0,0.0,0.0,2.25,0.0,4.0,-0.19749999999999998,-0.0375,0.2275000000000001,2.3333333333333335
0,0,0,0.28,0.32,1.5,1,0,90,0,0,0,2,0,Alex,Iwobi,3,-0.32,-0.28,0.5,1.0,0.0,0.0,0.28,0.32,1.5,1.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,3.0,-0.32,-0.28,0.5,1.0
1,0,0,0.07,0.0,2.13,2,0,50,0,0,0,1,0,Alex,Iwobi,5,0.0,-0.07,0.1299999999999999,0.0,0.0,0.0,0.17500000000000002,0.16,1.815,1.5,0.0,70.0,0.0,0.0,0.0,1.5,0.0,4.0,-0.16,-0.17500000000000002,0.31499999999999995,0.5
2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Alex,Iwobi,3,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666668,0.10666666666666667,1.21,1.0,0.0,46.666666666666664,0.0,0.0,0.0,1.0,0.0,3.6666666666666665,-0.10666666666666667,-0.11666666666666668,0.20999999999999996,0.3333333333333333
3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Alex,Iwobi,2,0.0,0.0,0.0,1.0,0.0,0.0,0.08750000000000001,0.08,0.9075,0.75,0.0,35.0,0.0,0.0,0.0,0.75,0.0,3.25,-0.08,-0.08750000000000001,0.15749999999999997,0.5
4,0,0,0.01,0.11,0.42,0,0,28,0,0,0,1,0,Alex,Iwobi,2,-0.11,-0.01,0.42,1.0,0.0,0.0,0.02,0.0275,0.6375,0.5,0.0,19.5,0.0,0.0,0.0,0.5,0.0,3.0,-0.0275,-0.02,0.13749999999999996,0.5
5,0,0,0.03,0.0,0.12,0,0,15,0,0,0,1,0,Alex,Iwobi,4,0.0,-0.03,0.12,1.0,0.0,0.0,0.01,0.0275,0.135,0.0,0.0,10.75,0.0,0.0,0.0,0.5,0.0,2.75,-0.0275,-0.01,0.135,0.75
6,0,0,0.11,0.17,0.56,0,0,36,0,0,0,1,0,Alex,Iwobi,4,-0.17,-0.11,0.56,2.0,0.0,0.0,0.0375,0.07,0.275,0.0,0.0,19.75,0.0,0.0,0.0,0.75,0.0,3.0,-0.07,-0.0375,0.275,1.25
